entity,Average life expectancy
Monaco,84.71
Andorra,83.47
San Marino,83.34
Japan,83.15
Hong Kong,83.14
Switzerland,82.28
Saint Barthelemy,82.08
Australia,81.98
Gibraltar,81.94
Italy,81.91
Liechtenstein,81.88
Macao,81.88
Guernsey,81.82
Spain,81.77
Vatican,81.77
Iceland,81.63
Sweden,81.61
Singapore,81.6
Israel,81.58
France,81.4
French Polynesia,81.31
Norway,81.31
Canada,81.12
United Arab Emirates,81.04
Malta,80.99
South Korea,80.88
New Zealand,80.78
Martinique,80.73
Netherlands,80.62
Austria,80.57
Ireland,80.36
Cyprus,80.34
Greece,80.33
Reunion,80.31
Finland,80.25
Belgium,80.15
Luxembourg,80.12
United Kingdom,80.11
Germany,80.07
Portugal,80.05
Bermuda,79.95
Jersey,79.89
Guadeloupe,79.86
High-income countries,79.74
Denmark,79.58
Qatar,79.51
Costa Rica,79.3
Chile,79.13
Slovenia,79.1
Faroe Islands,79.03
Isle of Man,79.02
Taiwan,78.88
Saint Martin (French part),78.85
Puerto Rico,78.8
Bahrain,78.32
United States,78.07
Kuwait,77.88
Albania,77.63
Czechia,77.53
Northern Mariana Islands,77.39
Cuba,77.3
Anguilla,77.25
Oceania,77.23
Oman,77.12
Wallis and Futuna,76.97
Falkland Islands,76.94
Cayman Islands,76.91
Lebanon,76.8
Mayotte,76.73
Maldives,76.72
Bonaire Sint Eustatius and Saba,76.67
Croatia,76.62
Bosnia and Herzegovina,76.61
Turks and Caicos Islands,76.61
Panama,76.5
Uruguay,76.49
Antigua and Barbuda,76.43
Europe,76.4
Saint Helena,76.31
Poland,76.28
Saint Pierre and Miquelon,76.18
Guam,76.18
New Caledonia,76.15
British Virgin Islands,76.07
Saudi Arabia,76.06
China,75.78
Slovakia,75.65
Barbados,75.63
Estonia,75.57
Argentina,75.56
French Guiana,75.52
Montenegro,75.45
Curacao,75.23
Turkey,75.16
Sint Maarten (Dutch part),75.14
Kosovo,74.98
Malaysia,74.94
Thailand,74.88
Ecuador,74.86
Tokelau,74.79
Montserrat,74.78
North Macedonia,74.76
Brunei,74.7
Hungary,74.57
Colombia,74.54
Aruba,74.5
Grenada,74.38
Tunisia,74.37
Serbia,74.37
Jordan,74.34
Sri Lanka,74.28
Iran,74.17
Algeria,73.98
Vietnam,73.74
Bulgaria,73.6
Peru,73.59
Mauritius,73.57
Mexico,73.56
Lithuania,73.5
United States Virgin Islands,73.49
Romania,73.47
Upper-middle-income countries,73.46
Brazil,73.44
Bahamas,73.37
Latvia,73.01
Armenia,72.99
Cook Islands,72.84
Palestine,72.81
Cape Verde,72.68
Venezuela,72.6
American Samoa,72.38
Saint Lucia,72.34
Georgia,72.2
Paraguay,72.15
Seychelles,72.14
Dominican Republic,72.13
Libya,71.73
Jamaica,71.62
Trinidad and Tobago,71.55
Asia,71.49
Belarus,71.46
Nicaragua,71.43
Tonga,71.35
Dominica,71.33
Morocco,71.21
Samoa,71.15
Belize,71.03
Saint Kitts and Nevis,71.0
Saint Vincent and the Grenadines,70.52
Ukraine,70.51
Syria,70.37
Honduras,70.33
El Salvador,70.32
Azerbaijan,70.25
World,70.13
North Korea,70.11
Guatemala,69.81
Vanuatu,69.79
Uzbekistan,69.69
Moldova,69.43
Egypt,69.35
Suriname,69.24
Russia,69.11
Kazakhstan,69.04
Greenland,68.9
Philippines,68.85
Bhutan,68.77
Solomon Islands,68.71
Bangladesh,68.53
Indonesia,68.5
Tajikistan,68.38
Iraq,68.03
Niue,68.01
Kyrgyzstan,68.0
Turkmenistan,68.0
Palau,67.73
Western Sahara,67.66
Mongolia,67.58
India,67.45
Nepal,66.93
Cambodia,66.89
Guyana,66.46
Fiji,66.39
Yemen,66.31
Lower-middle-income countries,65.73
Kiribati,65.6
Mauritania,65.43
Bolivia,65.42
Micronesia (country),65.32
Tuvalu,65.04
Gabon,65.03
Sao Tome and Principe,64.93
Marshall Islands,64.87
Pakistan,64.69
Laos,64.2
Senegal,64.12
Eritrea,63.72
East Timor,63.68
Myanmar,63.6
Papua New Guinea,63.48
Comoros,63.08
Sudan,62.49
Madagascar,61.97
Ghana,61.82
Gambia,61.49
Congo,61.45
Rwanda,61.44
Tanzania,61.4
Djibouti,61.31
Haiti,61.16
Kenya,60.54
Afghanistan,60.49
Nauru,60.41
South Africa,60.31
Uganda,60.23
Botswana,60.14
Ethiopia,59.99
Low-income countries,59.38
Africa,58.93
Equatorial Guinea,58.81
Benin,58.61
Liberia,58.55
Malawi,58.2
Togo,58.14
Cameroon,57.97
Namibia,57.68
Guinea-Bissau,57.47
Angola,57.22
Burundi,57.2
Zambia,57.09
Democratic Republic of Congo,56.88
Guinea,56.71
Burkina Faso,56.56
Niger,56.53
Mozambique,56.31
Cote d'Ivoire,56.19
Mali,56.18
Zimbabwe,53.8
Sierra Leone,53.27
South Sudan,52.36
Somalia,52.05
Eswatini,51.69
Nigeria,51.15
Chad,50.73
Lesotho,49.34
Central African Republic,45.13
